lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,11_01,11_02,11_03,11_04,11_05,11_06,11_07,11_08,11_09,11_10,11_11,11_12,11_13,11_14,11_15,11_16,11_17,11_18,11_19,11_20,11_21,11_22,11_23,11_24,11_25,11_26,11_27,11_28,11_29,11_30,11_31,TotalSnow
46.48,-96.29,217149,,MN,ROTHSAY,WILKIN,1236,-1,0.000,-1,0.000,0.000,-1,-1,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,-1,0.000,-1,0.000,-1,-1,1.800,0.000,-1,2.000,0.000,0.000,0.000,-1,0,3.8
45.20,-93.84,211107,,MN,BUFFALO 2NE,WRIGHT,992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.300,2.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.500,0,6.1
45.04,-93.79,212088,,MN,DELANO,WRIGHT,930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.000,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,0,8.0
45.09,-93.74,217020,RKFM,MN,ROCKFORD,WRIGHT,950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.200,5.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.700,-1,-1,-1,-1,-1,0,7.9
37.24,-93.39,237976,SGF,MO,SPRINGFIELD WSO AP,GREENE,1259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,-1,0.000,0,0.1
37.65,-90.69,230542,,MO,BELLEVIEW 4 SE,IRON,1283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100,-1,-1,-1,0.000,0,0.1
37.96,-91.78,237263,RRGM,MO,ROLLA UNI OF MISSOURI,PHELPS,1167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.200,-1,-1,-1,-1,0,0.2
38.75,-90.37,237455,STL,MO,ST LOUIS LAMBERT AP,ST. LOUIS,531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0,0.2
37.25,-92.52,233661,HRTM,MO,HARTVILLE,WRIGHT,1300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,0.000,1.000,-1,-1,-1,-1,0,1.0
45.62,-113.45,249067,WISM,MT,WISDOM,BEAVERHEAD,6060,-1,-1,-1,-1,-1,-1,-1,2.000,-1,0.500,0.000,1.000,-1,0.000,0.500,2.000,-1,1.500,1.000,2.000,0.000,-1,2.000,-1,-1,-1,-1,-1,-1,-1,0,12.5
