lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,11_01,11_02,11_03,11_04,11_05,11_06,11_07,11_08,11_09,11_10,11_11,11_12,11_13,11_14,11_15,11_16,11_17,11_18,11_19,11_20,11_21,11_22,11_23,11_24,11_25,11_26,11_27,11_28,11_29,11_30,11_31,TotalSnow
34.57,-85.61,018469,,AL,VALLEY HEAD,DEKALB,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.600,0.700,0,2.3
36.42,-90.59,031632,CRNA,AR,CORNING,CLAY,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.700,-1,0,5.7
36.45,-90.15,036380,,AR,SAINT FRANCIS,CLAY,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.300,0.000,0,4.3
35.85,-90.66,033734,JBRA,AR,JONESBORO 2 NE,CRAIGHEAD,310,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,-1,-1,0.000,-1,-1,-1,2.500,0.000,0,2.5
35.12,-90.18,037712,WMPA,AR,WEST MEMPHIS,CRITTENDEN,215,-1,-1,0.000,-1,-1,0.000,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,-1,-1,1.500,-1,0,1.5
36.03,-90.50,035563,PGLA,AR,PARAGOULD 1S,GREENE,270,0.000,0.000,0.000,0.000,-1,-1,-1,-1,-1,0.000,0.000,-1,-1,-1,0.000,0.000,-1,0.000,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,4.000,0.000,0,4.0
35.93,-91.06,030064,,AR,ALICIA 2NNE,LAWRENCE,252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.500,-1,0,1.5
36.11,-91.10,030746,,AR,BLACK ROCK,LAWRENCE,240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,-1,-1,1.000,-1,0,1.0
35.92,-89.90,030806,BLYA,AR,BLYTHEVILLE,MISSISSIPPI,252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.000,-1,0,2.0
35.69,-90.10,033821,KEIA,AR,KEISER,MISSISSIPPI,232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.000,-1,0,3.0
35.65,-91.01,033019,,AR,GRUBBS 4 E,POINSETT,222,0.000,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,0.000,0,1.5
35.53,-90.69,035831,,AR,POINSETT SP,POINSETT,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.500,-1,0,4.5
36.26,-90.97,035820,PCHA,AR,POCAHONTAS 1,RANDOLPH,315,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0,3.0
33.85,-109.15,020159,ALPA,AZ,ALPINE,APACHE,8050,-1,0.000,-1,-1,-1,-1,1.000,0.000,0.000,0.000,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,-1,-1,0.000,-1,-1,-1,-1,-1,0.000,0.000,0.000,0.000,0,1.0
33.97,-109.56,028326,,AZ,SUNRISE MTN,APACHE,9370,0.000,0.000,0.000,0.000,-1,-1,6.000,0.000,-1,0.000,-1,-1,0.000,-1,0.000,0.000,0.000,-1,-1,-1,0.000,2.000,0.000,-1,-1,0.000,0.000,0.000,0.000,0.000,0,8.0
35.23,-111.82,020678,FGZ,AZ,BELLEMONT WFO,COCONINO,7152,0.000,0.000,0.000,0.000,4.900,0.000,6.500,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,11.6
34.61,-111.19,020871,,AZ,BLUE RIDGE RS,COCONINO,6880,0.000,0.000,0.000,0.000,0.000,0.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,6.0
