lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,02_01,02_02,02_03,02_04,02_05,02_06,02_07,02_08,02_09,02_10,02_11,02_12,02_13,02_14,02_15,02_16,02_17,02_18,02_19,02_20,02_21,02_22,02_23,02_24,02_25,02_26,02_27,02_28,02_29,02_30,02_31,TotalSnow
34.74,-87.60,015749,,AL,MUSCLE SHOALS AP,COLBERT,540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0,0,0,0.3
34.64,-86.79,014064,,AL,HUNTSVILLE INTL AP,MADISON,624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0,0,0,0.2
36.35,-92.39,035036,MHMA,AR,MOUNTAIN HOME 1 NNW,BAXTER,800,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,-1,0.100,0.000,-1,-1,-1,-1,-1,5.500,-1,-1,-1,-1,-1,-1,0.000,0.000,-1,-1,0,0,0,5.6
36.42,-92.91,034106,LDHA,AR,LEAD HILL,BOONE,741,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,5.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,5.0
36.43,-93.63,030616,,AR,BERRYVILLE 5 NW,CARROLL,1180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,5.0
36.42,-93.79,032356,EURA,AR,EUREKA SPRINGS 3 WNW,CARROLL,1420,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100,-1,5.000,-1,-1,-1,-1,-1,4.000,-1,0.100,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,9.2
36.34,-93.43,032946,,AR,GREEN FOREST,CARROLL,1360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100,0.000,-1,-1,-1,-1,-1,3.000,0.100,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,3.2
36.42,-90.59,031632,CRNA,AR,CORNING,CLAY,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.500,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2.5
35.52,-92.00,032978,GFOA,AR,GREERS FERRY DAM,CLEBURNE,527,0.000,0.000,0.000,-1,-1,0.000,0.000,0.000,0.000,0.000,2.200,-1,-1,0.000,-1,-1,0.000,-1,-1,-1,0.500,0.000,0.000,0.000,-1,-1,-1,-1,0,0,0,2.7
35.85,-90.69,033734,JBRA,AR,JONESBORO 2 NE,CRAIGHEAD,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.500,-1,-1,-1,-1,-1,-1,0.500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2.0
35.12,-90.18,037712,WMPA,AR,WEST MEMPHIS,CRITTENDEN,215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0,0,0,0.6
35.08,-92.43,031596,,AR,CONWAY,FAULKNER,315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,-1,-1,0.000,-1,0.000,-1,-1,-1,-1,-1,0.000,-1,-1,-1,0,0,0,0.2
36.36,-91.80,036403,,AR,SALEM,FULTON,680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.800,-1,-1,-1,-1,-1,-1,3.500,0.500,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,4.8
34.30,-92.39,036562,SHDA,AR,SHERIDAN,GRANT,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.2
36.03,-90.50,035563,PGLA,AR,PARAGOULD 1S,GREENE,270,-1,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.500,0.000,-1,-1,0.000,0.000,0.000,1.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0,0,0,1.5
