lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,02_01,02_02,02_03,02_04,02_05,02_06,02_07,02_08,02_09,02_10,02_11,02_12,02_13,02_14,02_15,02_16,02_17,02_18,02_19,02_20,02_21,02_22,02_23,02_24,02_25,02_26,02_27,02_28,02_29,02_30,02_31,TotalSnow
34.79,-87.54,015752,,AL,MUSCLE SHOALS 3 NE,COLBERT,534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,2.900,0.000,0.000,0.000,0.000,0.000,0.400,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,3.7
34.74,-87.60,015749,,AL,MUSCLE SHOALS AP,COLBERT,540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2.0
34.06,-86.76,013655,,AL,HANCEVILLE,CULLMAN,530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.3
34.57,-85.61,018469,,AL,VALLEY HEAD,DEKALB,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.600,-1,-1,0.000,0.200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2.8
31.04,-85.87,013251,,AL,GENEVA #2,GENEVA,145,-1,0.000,0.000,0.000,0.000,-1,-1,0.000,0.000,0.000,-1,0.000,0.500,0.000,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,-1,0.000,-1,-1,0,0,0,0.5
34.91,-87.27,010260,,AL,ANDERSON,LAUDERDALE,685,-1,-1,-1,-1,-1,-1,0.000,-1,3.800,-1,-1,-1,-1,0.000,0.700,0.300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,4.8
34.78,-86.95,010390,,AL,ATHENS,LIMESTONE,680,-1,-1,-1,-1,-1,-1,-1,1.500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1.5
34.69,-86.88,010655,BLMA,AL,BELLE MINA 2 N,LIMESTONE,600,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,0.500,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.5
34.55,-86.45,016196,,AL,OWENS CROSS ROADS 3S,MADISON,590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.000,1.000,0.100,0.100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2.2
34.20,-86.16,010957,,AL,BOAZ,MARSHALL,1070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.3
34.33,-86.33,013573,,AL,GUNTERSVILLE,MARSHALL,578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100,-1,-1,-1,0.200,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.3
33.25,-91.51,035866,,AR,PORTLAND,ASHLEY,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.7
36.42,-92.25,032700,,AR,GAMALIEL,BAXTER,745,-1,-1,-1,-1,-1,0.000,-1,1.400,4.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,5.4
36.35,-92.39,035036,MHMA,AR,MTN HOME 1 NNW,BAXTER,800,-1,-1,-1,-1,-1,-1,-1,1.500,2.500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,4.0
36.27,-93.16,033165,,AR,HARRISON BOONE CO AP,BOONE,1374,0.000,0.000,0.000,0.300,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,4.3
36.42,-92.91,034106,LDHA,AR,LEAD HILL,BOONE,741,-1,-1,-1,-1,-1,-1,-1,-1,4.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,4.0
36.43,-93.63,030616,,AR,BERRYVILLE 5 NW,CARROLL,1180,-1,-1,-1,0.000,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,-1,5.200,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,5.2
36.42,-93.79,032356,EURA,AR,EUREKA SPRINGS 3 WNW,CARROLL,1420,-1,-1,-1,0.300,-1,1.000,-1,1.500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2.8
36.42,-90.59,031632,CRNA,AR,CORNING,CLAY,300,-1,-1,-1,-1,-1,-1,-1,1.500,4.500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,6.0
36.45,-90.15,036380,,AR,SAINT FRANCIS,CLAY,300,-1,-1,-1,-1,-1,-1,-1,-1,3.700,-1,-1,-1,0.000,-1,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,3.7
35.52,-92.00,032978,GFOA,AR,GREERS FERRY DAM,CLEBURNE,527,0.000,0.000,0.000,0.000,0.000,-1,0.000,6.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1,0.000,0.000,0.000,-1,-1,0.000,0.000,0.000,-1,-1,0,0,0,6.0
35.29,-92.79,033200,,AR,HATTIEVILLE,CONWAY,360,-1,-1,-1,-1,-1,-1,-1,5.300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,5.3
35.16,-92.77,034938,,AR,MORRILTON,CONWAY,340,-1,-1,-1,-1,-1,-1,-1,3.000,3.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,6.0
35.85,-90.69,033734,JBRA,AR,JONESBORO 2 NE,CRAIGHEAD,315,0.000,0.000,0.000,0.000,0.000,0.000,-1,2.500,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1,0.000,0.000,0.000,0,0,0,5.5
35.65,-94.15,035018,,AR,MOUNTAINBURG 2 NE,CRAWFORD,793,-1,-1,-1,-1,-1,-1,-1,0.300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.3
35.12,-90.18,037712,WMPA,AR,WEST MEMPHIS,CRITTENDEN,215,-1,-1,-1,-1,-1,-1,-1,0.400,-1,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,0.000,0,0,0,0.4
35.25,-90.80,038052,WYYA,AR,WYNNE,CROSS,260,-1,-1,-1,-1,-1,-1,-1,-1,2.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2.0
33.92,-92.83,036768,,AR,SPARKMAN,DALLAS,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.000,-1,-1,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1.0
33.77,-91.27,033831,,AR,KELSO,DESHA,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.500,-1,-1,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.5
33.81,-91.27,036253,RHWA,AR,ROHWER 2 NNE,DESHA,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.500,-1,0.000,0.000,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.5
